generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,actions
100,-21.0,0.48590207,0.015266945,0,"[[9.9999094e-01 7.9749519e-08 1.5520155e-06 2.8439688e-08 5.7248890e-09
  7.3887554e-06]
 [7.2509551e-01 4.1181736e-02 7.0596024e-02 3.5925753e-02 3.0099776e-02
  9.7101256e-02]
 [7.2379678e-01 4.1411556e-02 7.0897602e-02 3.6143515e-02 3.0305259e-02
  9.7445257e-02]
 [7.2871822e-01 4.0556103e-02 6.9764070e-02 3.5331268e-02 2.9529689e-02
  9.6100606e-02]
 [7.2899854e-01 4.0505111e-02 6.9684759e-02 3.5287876e-02 2.9492358e-02
  9.6031316e-02]]",432.7795,4.7537174e-05,"[[-0.03979283]
 [-0.6230484 ]
 [-0.6238738 ]
 [-0.6228096 ]]"
105,-21.0,0.57382995,0.017982524,0,"[[9.9999917e-01 3.3800871e-09 2.4948767e-07 6.5233680e-10 2.2498192e-10
  5.4561917e-07]
 [8.1148332e-01 2.6510920e-02 5.2174501e-02 2.1532876e-02 1.9128673e-02
  6.9169722e-02]
 [8.1148332e-01 2.6510920e-02 5.2174501e-02 2.1532876e-02 1.9128673e-02
  6.9169722e-02]
 [8.1148332e-01 2.6510920e-02 5.2174501e-02 2.1532876e-02 1.9128673e-02
  6.9169722e-02]
 [8.1393093e-01 2.6106799e-02 5.1577769e-02 2.1169677e-02 1.8781208e-02
  6.8433680e-02]]",458.54184,4.7418453e-05,"[[-0.32100657]
 [-0.6578528 ]
 [-0.6578528 ]
 [-0.6578528 ]]"
110,-21.0,0.6605442,0.038750343,0,"[[9.9997151e-01 1.8802921e-09 1.4145036e-08 3.8607054e-10 1.8049054e-10
  2.8470602e-05]
 [7.8674722e-01 2.5942016e-02 3.7941545e-02 2.1429608e-02 1.9522745e-02
  1.0841684e-01]
 [7.9062426e-01 2.5279218e-02 3.7074607e-02 2.0827115e-02 1.8942947e-02
  1.0725191e-01]
 [7.9601008e-01 2.4358526e-02 3.5871319e-02 1.9994082e-02 1.8148759e-02
  1.0561729e-01]
 [8.0031300e-01 2.3617554e-02 3.4911260e-02 1.9331831e-02 1.7532064e-02
  1.0429429e-01]]",382.16617,4.730003e-05,"[[ 0.03429094]
 [-0.5945991 ]
 [-0.5938419 ]
 [-0.5938399 ]]"
115,-21.0,0.6516263,0.018303512,0,"[[9.9999487e-01 5.1633992e-10 2.2731421e-09 1.3306667e-10 7.1095560e-11
  5.0969993e-06]
 [8.5237277e-01 1.7105870e-02 2.4620797e-02 1.4283565e-02 1.3209590e-02
  7.8407422e-02]
 [8.5237277e-01 1.7105870e-02 2.4620797e-02 1.4283565e-02 1.3209590e-02
  7.8407422e-02]
 [8.5654509e-01 1.6459441e-02 2.3751356e-02 1.3702544e-02 1.2648520e-02
  7.6893054e-02]
 [8.6189175e-01 1.5635312e-02 2.2638788e-02 1.2964632e-02 1.1942189e-02
  7.4927382e-02]]",441.88208,4.7181908e-05,"[[-0.5765664]
 [-0.6550604]
 [-0.6550604]
 [-0.6549687]]"
120,-21.0,0.6062375,0.01926564,0,"[[9.9995697e-01 3.0753810e-08 3.3408870e-08 5.4390039e-09 3.9346411e-09
  4.3048931e-05]
 [8.0117804e-01 2.6468031e-02 3.2889340e-02 2.1214623e-02 2.0701163e-02
  9.7548835e-02]
 [8.0117804e-01 2.6468031e-02 3.2889340e-02 2.1214623e-02 2.0701163e-02
  9.7548835e-02]
 [8.0117804e-01 2.6468031e-02 3.2889340e-02 2.1214623e-02 2.0701163e-02
  9.7548835e-02]
 [7.9880154e-01 2.6870733e-02 3.3396881e-02 2.1579990e-02 2.1070529e-02
  9.8280340e-02]]",424.98233,4.706407e-05,"[[-0.12695329]
 [-0.5689961 ]
 [-0.5689961 ]
 [-0.5689961 ]]"
125,-21.0,0.54363304,0.012416156,0,"[[9.9999738e-01 3.4114422e-09 3.8725410e-09 4.2979711e-10 4.6452212e-10
  2.6283853e-06]
 [8.5066861e-01 2.0156998e-02 2.6353871e-02 1.5751855e-02 1.6573630e-02
  7.0495024e-02]
 [8.5066861e-01 2.0156998e-02 2.6353871e-02 1.5751855e-02 1.6573630e-02
  7.0495024e-02]
 [8.5567099e-01 1.9361410e-02 2.5299264e-02 1.5049033e-02 1.5827511e-02
  6.8791881e-02]
 [8.6155820e-01 1.8427936e-02 2.4061088e-02 1.4230584e-02 1.4964177e-02
  6.6757984e-02]]",417.4687,4.6946534e-05,"[[ 0.08818784]
 [-0.5593612 ]
 [-0.5593612 ]
 [-0.5580812 ]]"
130,-21.0,0.61104363,0.021114282,0,"[[1.00000000e+00 1.69849046e-14 4.91670473e-14 1.72418334e-16
  1.17014468e-15 8.64634822e-11]
 [9.12942648e-01 1.17344055e-02 1.75896101e-02 8.06525256e-03
  1.00220526e-02 3.96460555e-02]
 [9.12942648e-01 1.17344055e-02 1.75896101e-02 8.06525256e-03
  1.00220526e-02 3.96460555e-02]
 [9.12942648e-01 1.17344055e-02 1.75896101e-02 8.06525256e-03
  1.00220526e-02 3.96460555e-02]
 [9.12942648e-01 1.17344055e-02 1.75896101e-02 8.06525256e-03
  1.00220526e-02 3.96460555e-02]]",420.05832,4.682929e-05,"[[ 0.02445793]
 [-0.6554123 ]
 [-0.6554123 ]
 [-0.6554123 ]]"
135,-21.0,0.59290564,0.038157202,0,"[[1.0000000e+00 1.5219850e-11 2.3122358e-11 2.8157690e-13 1.2499292e-12
  6.6304793e-09]
 [9.2957610e-01 9.6812565e-03 1.4366078e-02 6.1704144e-03 7.7858758e-03
  3.2420289e-02]
 [9.2957610e-01 9.6812565e-03 1.4366078e-02 6.1704144e-03 7.7858758e-03
  3.2420289e-02]
 [9.2957610e-01 9.6812565e-03 1.4366078e-02 6.1704144e-03 7.7858758e-03
  3.2420289e-02]
 [9.2957610e-01 9.6812565e-03 1.4366078e-02 6.1704144e-03 7.7858758e-03
  3.2420289e-02]]",435.78326,4.6712335e-05,"[[-0.39066112]
 [-0.6685408 ]
 [-0.6685408 ]
 [-0.6685408 ]]"
140,-21.0,0.58385056,0.027511278,0,"[[1.0000000e+00 8.2214360e-11 1.5709460e-10 1.6148313e-12 5.5673786e-12
  7.6094544e-09]
 [9.3896163e-01 8.8439928e-03 1.3750320e-02 5.4656258e-03 6.8605808e-03
  2.6117804e-02]
 [9.3896163e-01 8.8439928e-03 1.3750320e-02 5.4656258e-03 6.8605808e-03
  2.6117804e-02]
 [9.3896163e-01 8.8439928e-03 1.3750320e-02 5.4656258e-03 6.8605808e-03
  2.6117804e-02]
 [9.3896163e-01 8.8439928e-03 1.3750320e-02 5.4656258e-03 6.8605808e-03
  2.6117804e-02]]",436.04565,4.6595676e-05,"[[-0.13428418]
 [-0.6483392 ]
 [-0.6483392 ]
 [-0.6483392 ]]"
145,-21.0,0.62760615,0.02083379,0,"[[1.0000000e+00 7.2952895e-14 2.9587850e-13 8.3448331e-16 1.5172285e-15
  7.3040303e-11]
 [9.6847099e-01 3.9391238e-03 6.8760393e-03 2.3511611e-03 2.7323840e-03
  1.5630305e-02]
 [9.6847099e-01 3.9391238e-03 6.8760393e-03 2.3511611e-03 2.7323840e-03
  1.5630305e-02]
 [9.6847099e-01 3.9391238e-03 6.8760393e-03 2.3511611e-03 2.7323840e-03
  1.5630305e-02]
 [9.6847099e-01 3.9391238e-03 6.8760393e-03 2.3511611e-03 2.7323840e-03
  1.5630305e-02]]",424.54434,4.647931e-05,"[[ 0.1975465 ]
 [-0.65657187]
 [-0.65657187]
 [-0.65657187]]"
